Saint-Michel,1729,4,Place Saint-Michel - 75105,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Saint-Philippe du Roule,1730,9,69 avenue Franklin D. Roosevelt - 75108,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Saint-Placide,1731,4,Rue de Rennes - 75106,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Saint-Sulpice,1733,4,Rue de Rennes - 75106,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Porte d'Ivry,1734,7,Avenue d'Ivry - 75113,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Porte d'Orléans (Général Leclerc),1735,4,Rue de la Légion Etrangère - 75114,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Porte Dauphine (Maréchal de Lattre de Tassigny),1736,2,Boulevard Amiral Bruix - 75116,(NATION <-> PORTE DAUPHINE) - Aller
Porte de Bagnolet,1737,3,Rue de la Py - 75120,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Porte de Champerret,1738,3,Place Stuart-Merrill - 75117,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Porte de Choisy,1740,7,130 boulevard Masséna - 75113,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Porte de Clichy,1741,13,2 avenue de la Porte de Clichy - 75117,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Porte de Clignancourt,1742,4,Rue Belliard - 75118,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Porte de la Chapelle,1743,12,Rue Raymond Queneau - 75118,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Porte de la Villette,1744,7,Cité des Sciences - La Géode - Le Zénith - 75119,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Porte de Montreuil,1745,9,Rue d'Avron - 75120,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Porte de Pantin,1746,5,Avenue Jean Jaurès - 75119,(BOBIGNY - PABLO PICASSO <-> PLACE D'ITALIE) - Aller
Porte de Saint-Cloud,1747,9,Place de la Porte de Saint-Cloud - 75116,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Porte de Saint-Ouen,1748,13,Rue Liebniz - 75118,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Porte de Vanves,1749,13,9 boulevard Brune - 75114,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Porte de Versailles,1750,12,Palais des Sports - 75115,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Porte de Vincennes,1751,1,99 Cours de Vincennes - 75120,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller
Porte des Lilas,1752,3B,Rue de Belleville - 75120,(PORTE DES LILAS <-> GAMBETTA) - Aller
Porte des Lilas,1753,11,Rue de Belleville - 75120,(MAIRIE DES LILAS <-> CHATELET) - Aller
Porte Maillot,1755,1,Palais des Congrès - 75117,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller
Pré-Saint-Gervais,1756,7B,52 boulevard Serrurier - 75119,(PRE-SAINT-GERVAIS <-> LOUIS BLANC) - Aller
Pyramides,1757,7,Rue de l'Echelle - 75101,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Pyrénées,1758,11,401 rue des Pyrénées - 75120,(MAIRIE DES LILAS <-> CHATELET) - Aller
Quai de la Rapée,1759,5,Quai de la Rapée - 75112,(BOBIGNY - PABLO PICASSO <-> PLACE D'ITALIE) - Aller
Quatre Septembre,1760,3,20 rue du Quatre Septembre - 75102,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Rambuteau,1761,11,Centre Georges Pompidou - 75104,(MAIRIE DES LILAS <-> CHATELET) - Aller
Ranelagh,1762,9,48 avenue Mozart - 75116,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Raspail,1763,6,Boulevard Edgard Quinet - 75114,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller
Réaumur-Sébastopol,1764,4,Square Emile Chantemps - 75102,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Réaumur-Sébastopol,1765,3,Square Emile Chantemps - 75102,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
République,1766,3,Av de la République - 75111,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
République,1767,5,Av de la République - 75111,(BOBIGNY - PABLO PICASSO <-> PLACE D'ITALIE) - Aller
Ourcq,1772,5,161 avenue Jean Jaurès - 75119,(BOBIGNY - PABLO PICASSO <-> PLACE D'ITALIE) - Aller
Palais-Royal (Musée du Louvre),1773,1,Terre-plein face au 93 rue de Rivoli - 75101,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller
Palais-Royal (Musée du Louvre),1774,7,Terre-plein face au 93 rue de Rivoli - 75101,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Parmentier,1779,3,48 avenue de la République - 75111,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Passy,1780,6,pl. du Costa Rica - 75116,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller
Pasteur,1781,6,183 rue de Vaugirard - 75115,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller
Pasteur,1782,12,183 rue de Vaugirard - 75115,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Pelleport,1783,3B,Paul Signac (place en face du 125 avenue Gambetta) - 75120,(PORTE DES LILAS <-> GAMBETTA) - Aller
Père-Lachaise,1784,2,Avenue de la République - 75111,(NATION <-> PORTE DAUPHINE) - Aller
Père-Lachaise,1785,3,Avenue de la République - 75111,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Pereire,1786,3,Square Albert Besnard - 75117,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Pernety,1787,13,Rue Niepce - 75114,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Philippe Auguste,1788,2,212 boulevard de Charonne - 75111,(NATION <-> PORTE DAUPHINE) - Aller
Picpus,1789,6,46 avenue de Saint-Mandé - 75112,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller
Pierre et Marie Curie,1790,7,117-119 avenue Maurice Thorez - 94041,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Pigalle,1791,2,26 boulevard de Clichy - 75118,(NATION <-> PORTE DAUPHINE) - Aller
Pigalle,1792,12,26 boulevard de Clichy - 75118,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Place d'Italie,1793,5,Place d' Italie - 75113,(BOBIGNY - PABLO PICASSO <-> PLACE D'ITALIE) - Aller
Place d'Italie,1794,6,Place d' Italie - 75113,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller
Place de Clichy,1795,2,Terre-plein face au 7 place de Clichy - 75109,(NATION <-> PORTE DAUPHINE) - Aller
Place de Clichy,1796,13,Terre-plein face au 7 place de Clichy - 75109,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
